Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
| ♡ |,@_antiKorrupcion,,,,,33,https://x.com/_antiKorrupcion/status/1796698692583293433,https://x.com/_antiKorrupcion,"... por favor limpien la esquina de Malaver y Maipú,  es un basurero... está justo frente a la Quinta Presidencial!! ...escribo a esta cuenta ya q me cansé de mandar mails con fotos y hacer reclamos de manera presencial en la Municipalidad sin  obtener respuestas... Gracias.",May 31,2024-06-01T00:22:04.000Z
Pablo ⑫,@bosqueymar22,,,,,23,https://x.com/bosqueymar22/status/1796563609201357087,https://x.com/bosqueymar22,Agarra el watsup que mande un mensaje hace 3 días.  Mañana arranco a cortar los árboles de la puerta de casa con la motosierra. Se lleva cableado y corte de calle. El que avisa...,May 31,2024-05-31T15:25:17.000Z
MissARG,@MissARGSTVZ,,,,,39,https://x.com/MissARGSTVZ/status/1796359740152483890,https://x.com/MissARGSTVZ,Cuánto nos sale esta publicidad pedorra?,May 30,2024-05-31T01:55:11.000Z
Cynthia Purves,@PurvesCynthia,,1,,,14,https://x.com/PurvesCynthia/status/1796175455428530263,https://x.com/PurvesCynthia,@VivamosVL además de lo verde cuiden la limpieza de la calle malaver que es un espanto,May 30,2024-05-30T13:42:54.000Z
norma fernandez,@normafe02654727,,,,,41,https://x.com/normafe02654727/status/1796139636579770877,https://x.com/normafe02654727,Pedí un turno para clínica medica y no me lo dieron por ser de pami soy vecina de vte.lopez y pago bastante de impuestos para que me atiendan.,May 30,2024-05-30T11:20:34.000Z
Pablo ⑫,@bosqueymar22,,,,,13,https://x.com/bosqueymar22/status/1795933341041996003,https://x.com/bosqueymar22,Cinco días una pila de botellas de plástico en la puerta...,May 29,2024-05-29T21:40:49.000Z
paf,@paferaz,,,,,22,https://x.com/paferaz/status/1795917221408997828,https://x.com/paferaz,"Por favor resuelvan la situación de los autos secuestrados que se encuentran hace años en la calle Laprida a lo largo de más de 200 metros de ambos lados , entorpeciendo el tránsito y perjudicando a los comerciantes de la zona .",May 29,2024-05-29T20:36:46.000Z
Muscaritheater,@Muscaritheater,,,,,73,https://x.com/Muscaritheater/status/1795668627217060266,https://x.com/Muscaritheater,"Pusieron un letrero municipal en estación Florida O. en un poste, todo mal atado y poco visible.",May 29,2024-05-29T04:08:57.000Z
paf,@paferaz,,,,,14,https://x.com/paferaz/status/1795569854638157949,https://x.com/paferaz,Se necesita con urgencia regularizar la situación de la calle Laprida a la altura de la comisaría en Villa Martelli. Ambas aceras están completamente ocupadas por autos secuestrados en estado de abandono como si fuera una playa de estacionamiento para tal fin. Nadie se hace cargo,May 28,2024-05-28T21:36:28.000Z
Chichi Patiño,@cfernandez34,,,2,,81,https://x.com/cfernandez34/status/1795260990483017948,https://x.com/cfernandez34,"Chicos: LIMPIEN LAS CALLES, ESTAN INUNDADAS DE HOJAS",May 27,2024-05-28T01:09:09.000Z
